"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
0,0.342,0.64,0.64,0.342,0.342,0.342,0.64,0.694,0.694,0.507,0.407,0.916,0.916,0.718,0.718,0.718,0.718,0.718,0.718,0.718
0.657,0,0.601,0.601,0.884,0.884,0.934,0.551,0.999,0.999,0.657,0.589,0.877,0.877,0.801,0.801,0.801,0.801,0.801,0.801,0.801
0.467,0.398,0,0.999,0.398,0.398,0.398,0.694,0.398,0.398,0.384,0.398,0.611,0.726,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.467,0.398,0.8,0,0.398,0.398,0.398,0.694,0.398,0.398,0.384,0.398,0.611,0.611,0.8,0.8,0.8,0.8,0.8,0.8,0.8
0.657,0.894,0.601,0.601,0,0.779,0.829,0.666,0.894,0.894,0.657,0.589,0.877,0.877,0.801,0.801,0.801,0.801,0.801,0.801,0.801
0.772,0.999,0.601,0.601,0.999,0,0.934,0.666,0.999,0.999,0.772,0.704,0.877,0.877,0.801,0.801,0.801,0.801,0.801,0.801,0.801
0.657,0.884,0.666,0.666,0.884,0.884,0,0.551,0.999,0.999,0.657,0.589,0.877,0.877,0.801,0.686,0.801,0.801,0.801,0.801,0.801
0.657,0.513,0.82,0.82,0.513,0.398,0.448,0,0.703,0.703,0.384,0.398,0.916,0.916,0.915,0.915,0.915,0.801,0.801,0.801,0.801
0.657,0.313,0.601,0.601,0.418,0.313,0.313,0.486,0,0.999,0.353,0.378,0.877,0.877,0.686,0.686,0.686,0.801,0.801,0.801,0.801
0.657,0.313,0.601,0.601,0.418,0.313,0.313,0.486,0.999,0,0.353,0.378,0.877,0.877,0.686,0.686,0.686,0.801,0.801,0.801,0.801
0.884,0.729,0.723,0.723,0.729,0.614,0.729,0.723,0.891,0.891,0,0.489,0.999,0.999,0.801,0.801,0.801,0.801,0.801,0.801,0.801
0.697,0.934,0.601,0.601,0.934,0.819,0.934,0.601,0.934,0.934,0.707,0,0.877,0.877,0.801,0.801,0.801,0.801,0.801,0.801,0.801
0.592,0.205,0.723,0.723,0.205,0.205,0.205,0.608,0.492,0.492,0.288,0.205,0,0.999,0.686,0.686,0.686,0.686,0.686,0.686,0.686
0.592,0.205,0.608,0.723,0.205,0.205,0.205,0.608,0.492,0.492,0.288,0.205,0.884,0,0.686,0.686,0.686,0.686,0.686,0.686,0.686
0.486,0.32,0.39,0.39,0.32,0.32,0.32,0.389,0.532,0.532,0.403,0.32,0.518,0.518,0,0.884,0.884,0.885,0.885,0.885,0.885
0.486,0.32,0.39,0.39,0.32,0.32,0.435,0.389,0.532,0.532,0.403,0.32,0.518,0.518,0.893,0,0.893,0.779,0.779,0.779,0.779
0.486,0.32,0.39,0.39,0.32,0.32,0.32,0.389,0.532,0.532,0.403,0.32,0.518,0.518,0.893,0.884,0,0.779,0.779,0.779,0.779
0.486,0.198,0.39,0.39,0.198,0.198,0.198,0.389,0.295,0.295,0.403,0.198,0.518,0.518,0.657,0.657,0.657,0,0.999,0.894,0.894
0.486,0.198,0.39,0.39,0.198,0.198,0.198,0.389,0.295,0.295,0.403,0.198,0.518,0.518,0.657,0.657,0.657,0.999,0,0.894,0.894
0.486,0.198,0.39,0.39,0.198,0.198,0.198,0.389,0.295,0.295,0.403,0.198,0.518,0.518,0.486,0.592,0.592,0.828,0.828,0,0.999
0.486,0.198,0.39,0.39,0.198,0.198,0.198,0.389,0.295,0.295,0.403,0.198,0.518,0.518,0.486,0.592,0.592,0.828,0.828,0.999,0
